"Servicio","VPC($)","EC2-Otros($)","CloudWatch($)","EC2-Instancias($)","S3($)","Secrets Manager($)","Key Management Service($)","Glue($)","SQS($)","SNS($)","Costos totales($)"
"Servicio en total","17.3547658602","12.1447832121","0.0437669598","0.0057256212","0.0034488","0.000255","0.000159","0.000036","0.0000208","0.0000185","29.5529797533"
"2025-12-01","","","","","","","","","","","0"
"2026-01-01","","","","","","","","","","","0"
"2026-02-01","","","","","0.0002998","0.000025","0.000015","","0.000002","0.0000025","0.0003443"
"2026-03-01","","","","","0.0010506","0.000075","0.000045","","0.000006","0.000005","0.0011816"
"2026-04-01","","","","","0.0010036","0.00007","0.000042","","0.0000056","0.0000045","0.0011257"
"2026-05-01","17.3547658602","12.1447832121","0.0437669598","0.0057256212","0.0010948","0.000085","0.000057","0.000036","0.0000072","0.0000065","29.5503281533"
